,YEAR,SITE,RACE,SEX,COUNT,POPULATION
56,1999,Colon excluding Rectum,American Indian/Alaska Native,Male,65,1410781
57,1999,Colon excluding Rectum,Asian/Pacific Islander,Female,340,5875446
58,1999,Colon excluding Rectum,Asian/Pacific Islander,Male,329,5538405
59,1999,Colon excluding Rectum,Black,Female,3213,18978030
60,1999,Colon excluding Rectum,Black,Male,2733,17195091
61,1999,Colon excluding Rectum,Hispanic,Female,830,16499783
62,1999,Colon excluding Rectum,Hispanic,Male,887,17434346
63,1999,Colon excluding Rectum,White,Female,21501,115961839
64,1999,Colon excluding Rectum,White,Male,20710,112658596
65,1999,Corpus,Asian/Pacific Islander,Female,38,5875446
66,1999,Corpus,Black,Female,440,18978030
67,1999,Corpus,Hispanic,Female,128,16499783
68,1999,Corpus,White,Female,2638,115961839
69,1999,"Corpus and Uterus, NOS",Asian/Pacific Islander,Female,82,5875446
70,1999,"Corpus and Uterus, NOS",Black,Female,987,18978030
71,1999,"Corpus and Uterus, NOS",Hispanic,Female,272,16499783
72,1999,"Corpus and Uterus, NOS",White,Female,5386,115961839
73,1999,Esophagus,American Indian/Alaska Native,Male,31,1410781
74,1999,Esophagus,Asian/Pacific Islander,Female,33,5875446
75,1999,Esophagus,Asian/Pacific Islander,Male,120,5538405
76,1999,Esophagus,Black,Female,445,18978030
77,1999,Esophagus,Black,Male,1202,17195091
78,1999,Esophagus,Hispanic,Female,73,16499783
79,1999,Esophagus,Hispanic,Male,294,17434346
80,1999,Esophagus,White,Female,2339,115961839
81,1999,Esophagus,White,Male,7740,112658596
82,1999,Eye and Orbit,White,Female,115,115961839
83,1999,Eye and Orbit,White,Male,103,112658596
84,1999,Female Breast,American Indian/Alaska Native,Female,130,1421980
85,1999,Female Breast,Asian/Pacific Islander,Female,583,5875446
86,1999,Female Breast,Black,Female,5358,18978030
87,1999,Female Breast,Hispanic,Female,1538,16499783
88,1999,Female Breast,White,Female,35073,115961839
89,1999,Floor of Mouth,Black,Male,27,17195091
90,1999,Floor of Mouth,White,Female,51,115961839
91,1999,Floor of Mouth,White,Male,92,112658596
92,1999,Gallbladder,American Indian/Alaska Native,Female,17,1421980
93,1999,Gallbladder,Asian/Pacific Islander,Female,37,5875446
94,1999,Gallbladder,Asian/Pacific Islander,Male,18,5538405
95,1999,Gallbladder,Black,Female,150,18978030
96,1999,Gallbladder,Black,Male,51,17195091
97,1999,Gallbladder,Hispanic,Female,164,16499783
98,1999,Gallbladder,Hispanic,Male,44,17434346
99,1999,Gallbladder,White,Female,1277,115961839
100,1999,Gallbladder,White,Male,505,112658596
101,1999,Gum and Other Mouth,Black,Female,46,18978030
102,1999,Gum and Other Mouth,Black,Male,94,17195091
103,1999,Gum and Other Mouth,Hispanic,Female,16,16499783
104,1999,Gum and Other Mouth,Hispanic,Male,27,17434346
105,1999,Gum and Other Mouth,White,Female,504,115961839
106,1999,Gum and Other Mouth,White,Male,552,112658596
107,1999,Hodgkin Lymphoma,Black,Female,53,18978030
108,1999,Hodgkin Lymphoma,Black,Male,75,17195091
109,1999,Hodgkin Lymphoma,Hispanic,Female,48,16499783
110,1999,Hodgkin Lymphoma,Hispanic,Male,65,17434346
111,1999,Hodgkin Lymphoma,White,Female,555,115961839
112,1999,Hodgkin Lymphoma,White,Male,708,112658596
113,1999,Hypopharynx,Black,Female,16,18978030
114,1999,Hypopharynx,Black,Male,51,17195091
115,1999,Hypopharynx,White,Female,79,115961839
116,1999,Hypopharynx,White,Male,232,112658596
117,1999,Kidney and Renal Pelvis,American Indian/Alaska Native,Female,28,1421980
118,1999,Kidney and Renal Pelvis,American Indian/Alaska Native,Male,50,1410781
119,1999,Kidney and Renal Pelvis,Asian/Pacific Islander,Female,42,5875446
120,1999,Kidney and Renal Pelvis,Asian/Pacific Islander,Male,83,5538405
121,1999,Kidney and Renal Pelvis,Black,Female,413,18978030
122,1999,Kidney and Renal Pelvis,Black,Male,622,17195091
123,1999,Kidney and Renal Pelvis,Hispanic,Female,194,16499783
124,1999,Kidney and Renal Pelvis,Hispanic,Male,353,17434346
125,1999,Kidney and Renal Pelvis,White,Female,3766,115961839
126,1999,Kidney and Renal Pelvis,White,Male,6112,112658596
127,1999,Larynx,Asian/Pacific Islander,Male,27,5538405
128,1999,Larynx,Black,Female,127,18978030
129,1999,Larynx,Black,Male,536,17195091
130,1999,Larynx,Hispanic,Female,22,16499783
131,1999,Larynx,Hispanic,Male,149,17434346
132,1999,Larynx,White,Female,687,115961839
133,1999,Larynx,White,Male,2419,112658596
134,1999,Leukemias,American Indian/Alaska Native,Female,18,1421980
135,1999,Leukemias,American Indian/Alaska Native,Male,38,1410781
136,1999,Leukemias,Asian/Pacific Islander,Female,157,5875446
137,1999,Leukemias,Asian/Pacific Islander,Male,194,5538405
138,1999,Leukemias,Black,Female,821,18978030
139,1999,Leukemias,Black,Male,898,17195091
140,1999,Leukemias,Hispanic,Female,462,16499783
141,1999,Leukemias,Hispanic,Male,534,17434346
142,1999,Leukemias,White,Female,8532,115961839
143,1999,Leukemias,White,Male,10413,112658596
144,1999,Lip,White,Male,36,112658596
145,1999,Liver and Intrahepatic Bile Duct,American Indian/Alaska Native,Female,34,1421980
146,1999,Liver and Intrahepatic Bile Duct,American Indian/Alaska Native,Male,42,1410781
147,1999,Liver and Intrahepatic Bile Duct,Asian/Pacific Islander,Female,264,5875446
148,1999,Liver and Intrahepatic Bile Duct,Asian/Pacific Islander,Male,549,5538405
149,1999,Liver and Intrahepatic Bile Duct,Black,Female,560,18978030
150,1999,Liver and Intrahepatic Bile Duct,Black,Male,947,17195091
151,1999,Liver and Intrahepatic Bile Duct,Hispanic,Female,396,16499783
152,1999,Liver and Intrahepatic Bile Duct,Hispanic,Male,688,17434346
153,1999,Liver and Intrahepatic Bile Duct,White,Female,3835,115961839
154,1999,Liver and Intrahepatic Bile Duct,White,Male,6151,112658596
155,1999,Lung and Bronchus,American Indian/Alaska Native,Female,212,1421980
156,1999,Lung and Bronchus,American Indian/Alaska Native,Male,285,1410781
157,1999,Lung and Bronchus,Asian/Pacific Islander,Female,754,5875446
158,1999,Lung and Bronchus,Asian/Pacific Islander,Male,1184,5538405
159,1999,Lung and Bronchus,Black,Female,5824,18978030
160,1999,Lung and Bronchus,Black,Male,10129,17195091
161,1999,Lung and Bronchus,Hispanic,Female,1172,16499783
162,1999,Lung and Bronchus,Hispanic,Male,2371,17434346
163,1999,Lung and Bronchus,White,Female,55872,115961839
164,1999,Lung and Bronchus,White,Male,77801,112658596
165,1999,Lymphomas,American Indian/Alaska Native,Female,30,1421980
166,1999,Lymphomas,American Indian/Alaska Native,Male,32,1410781
167,1999,Lymphomas,Asian/Pacific Islander,Female,158,5875446
168,1999,Lymphomas,Asian/Pacific Islander,Male,210,5538405
169,1999,Lymphomas,Black,Female,710,18978030
170,1999,Lymphomas,Black,Male,861,17195091
171,1999,Lymphomas,Hispanic,Female,513,16499783
172,1999,Lymphomas,Hispanic,Male,558,17434346
173,1999,Lymphomas,White,Female,10728,115961839
174,1999,Lymphomas,White,Male,11476,112658596
175,1999,Male Breast,Black,Male,67,17195091
176,1999,Male Breast,White,Male,312,112658596
177,1999,Melanomas of the Skin,Black,Female,48,18978030
178,1999,Melanomas of the Skin,Black,Male,48,17195091
179,1999,Melanomas of the Skin,Hispanic,Female,54,16499783
180,1999,Melanomas of the Skin,Hispanic,Male,79,17434346
181,1999,Melanomas of the Skin,White,Female,2627,115961839
182,1999,Melanomas of the Skin,White,Male,4459,112658596
183,1999,Mesothelioma,Black,Female,27,18978030
184,1999,Mesothelioma,Black,Male,71,17195091
185,1999,Mesothelioma,Hispanic,Female,21,16499783
186,1999,Mesothelioma,Hispanic,Male,46,17434346
187,1999,Mesothelioma,White,Female,427,115961839
188,1999,Mesothelioma,White,Male,1795,112658596
189,1999,Miscellaneous,American Indian/Alaska Native,Female,100,1421980
190,1999,Miscellaneous,American Indian/Alaska Native,Male,100,1410781
191,1999,Miscellaneous,Asian/Pacific Islander,Female,318,5875446
192,1999,Miscellaneous,Asian/Pacific Islander,Male,350,5538405
193,1999,Miscellaneous,Black,Female,2462,18978030
194,1999,Miscellaneous,Black,Male,2599,17195091
195,1999,Miscellaneous,Hispanic,Female,709,16499783
196,1999,Miscellaneous,Hispanic,Male,819,17434346
197,1999,Miscellaneous,White,Female,19078,115961839
198,1999,Miscellaneous,White,Male,19394,112658596
199,1999,Myeloma,American Indian/Alaska Native,Female,21,1421980
200,1999,Myeloma,American Indian/Alaska Native,Male,22,1410781
201,1999,Myeloma,Asian/Pacific Islander,Female,81,5875446
202,1999,Myeloma,Asian/Pacific Islander,Male,72,5538405
203,1999,Myeloma,Black,Female,954,18978030
204,1999,Myeloma,Black,Male,815,17195091
205,1999,Myeloma,Hispanic,Female,238,16499783
206,1999,Myeloma,Hispanic,Male,221,17434346
207,1999,Myeloma,White,Female,4138,115961839
208,1999,Myeloma,White,Male,4405,112658596
209,1999,Nasopharynx,Asian/Pacific Islander,Female,28,5875446
210,1999,Nasopharynx,Asian/Pacific Islander,Male,78,5538405
211,1999,Nasopharynx,Black,Female,35,18978030
212,1999,Nasopharynx,Black,Male,62,17195091
213,1999,Nasopharynx,Hispanic,Male,22,17434346
214,1999,Nasopharynx,White,Female,157,115961839
215,1999,Nasopharynx,White,Male,271,112658596
216,1999,Non-Hodgkin Lymphoma,American Indian/Alaska Native,Female,26,1421980
217,1999,Non-Hodgkin Lymphoma,American Indian/Alaska Native,Male,31,1410781
218,1999,Non-Hodgkin Lymphoma,Asian/Pacific Islander,Female,152,5875446
219,1999,Non-Hodgkin Lymphoma,Asian/Pacific Islander,Male,209,5538405
220,1999,Non-Hodgkin Lymphoma,Black,Female,657,18978030
221,1999,Non-Hodgkin Lymphoma,Black,Male,786,17195091
222,1999,Non-Hodgkin Lymphoma,Hispanic,Female,465,16499783
223,1999,Non-Hodgkin Lymphoma,Hispanic,Male,493,17434346
224,1999,Non-Hodgkin Lymphoma,White,Female,10173,115961839
225,1999,Non-Hodgkin Lymphoma,White,Male,10768,112658596
226,1999,"Nose, Nasal Cavity and Middle Ear",Black,Male,27,17195091
227,1999,"Nose, Nasal Cavity and Middle Ear",White,Female,181,115961839
228,1999,"Nose, Nasal Cavity and Middle Ear",White,Male,227,112658596
229,1999,Oral Cavity and Pharynx,American Indian/Alaska Native,Male,22,1410781
230,1999,Oral Cavity and Pharynx,Asian/Pacific Islander,Female,53,5875446
231,1999,Oral Cavity and Pharynx,Asian/Pacific Islander,Male,139,5538405
232,1999,Oral Cavity and Pharynx,Black,Female,317,18978030
233,1999,Oral Cavity and Pharynx,Black,Male,828,17195091
234,1999,Oral Cavity and Pharynx,Hispanic,Female,78,16499783
235,1999,Oral Cavity and Pharynx,Hispanic,Male,204,17434346
236,1999,Oral Cavity and Pharynx,White,Female,2161,115961839
237,1999,Oral Cavity and Pharynx,White,Male,3955,112658596
238,1999,Oropharynx,Black,Female,22,18978030
239,1999,Oropharynx,Black,Male,98,17195091
240,1999,Oropharynx,Hispanic,Male,18,17434346
241,1999,Oropharynx,White,Female,148,115961839
242,1999,Oropharynx,White,Male,323,112658596
243,1999,Other Biliary,Asian/Pacific Islander,Female,22,5875446
244,1999,Other Biliary,Asian/Pacific Islander,Male,22,5538405
245,1999,Other Biliary,Black,Female,58,18978030
246,1999,Other Biliary,Black,Male,47,17195091
247,1999,Other Biliary,Hispanic,Female,50,16499783
248,1999,Other Biliary,Hispanic,Male,31,17434346
249,1999,Other Biliary,White,Female,723,115961839
250,1999,Other Biliary,White,Male,651,112658596
251,1999,Other Digestive Organs,Black,Female,51,18978030
252,1999,Other Digestive Organs,Black,Male,65,17195091
253,1999,Other Digestive Organs,Hispanic,Female,25,16499783
254,1999,Other Digestive Organs,Hispanic,Male,29,17434346
255,1999,Other Digestive Organs,White,Female,440,115961839
256,1999,Other Digestive Organs,White,Male,444,112658596
257,1999,Other Endocrine including Thymus,Black,Female,56,18978030
258,1999,Other Endocrine including Thymus,Black,Male,57,17195091
259,1999,Other Endocrine including Thymus,Hispanic,Female,23,16499783
260,1999,Other Endocrine including Thymus,Hispanic,Male,28,17434346
261,1999,Other Endocrine including Thymus,White,Female,369,115961839
262,1999,Other Endocrine including Thymus,White,Male,403,112658596
263,1999,Other Female Genital Organs,Black,Female,48,18978030
264,1999,Other Female Genital Organs,White,Female,363,115961839
265,1999,Other Leukemias,Asian/Pacific Islander,Female,44,5875446
266,1999,Other Leukemias,Asian/Pacific Islander,Male,63,5538405
267,1999,Other Leukemias,Black,Female,269,18978030
268,1999,Other Leukemias,Black,Male,244,17195091
269,1999,Other Leukemias,Hispanic,Female,109,16499783
270,1999,Other Leukemias,Hispanic,Male,132,17434346
271,1999,Other Leukemias,White,Female,2679,115961839
272,1999,Other Leukemias,White,Male,3199,112658596
273,1999,Other Male Genital Organs,White,Male,36,112658596
274,1999,Other Non-Epithelial Skin,Black,Female,31,18978030
275,1999,Other Non-Epithelial Skin,Black,Male,116,17195091
276,1999,Other Non-Epithelial Skin,Hispanic,Female,21,16499783
277,1999,Other Non-Epithelial Skin,Hispanic,Male,39,17434346
278,1999,Other Non-Epithelial Skin,White,Female,682,115961839
279,1999,Other Non-Epithelial Skin,White,Male,1462,112658596
280,1999,Other Oral Cavity and Pharynx,Black,Female,74,18978030
281,1999,Other Oral Cavity and Pharynx,Black,Male,238,17195091
282,1999,Other Oral Cavity and Pharynx,Hispanic,Male,41,17434346
283,1999,Other Oral Cavity and Pharynx,White,Female,325,115961839
284,1999,Other Oral Cavity and Pharynx,White,Male,827,112658596
285,1999,Other Urinary Organs,Black,Female,25,18978030
286,1999,Other Urinary Organs,White,Female,109,115961839
287,1999,Other Urinary Organs,White,Male,144,112658596
288,1999,Ovary,American Indian/Alaska Native,Female,29,1421980
289,1999,Ovary,Asian/Pacific Islander,Female,217,5875446
290,1999,Ovary,Black,Female,1079,18978030
291,1999,Ovary,Hispanic,Female,478,16499783
292,1999,Ovary,White,Female,12302,115961839
293,1999,Pancreas,American Indian/Alaska Native,Female,44,1421980
294,1999,Pancreas,American Indian/Alaska Native,Male,40,1410781
295,1999,Pancreas,Asian/Pacific Islander,Female,269,5875446
296,1999,Pancreas,Asian/Pacific Islander,Male,252,5538405
297,1999,Pancreas,Black,Female,1780,18978030
298,1999,Pancreas,Black,Male,1611,17195091
299,1999,Pancreas,Hispanic,Female,572,16499783
300,1999,Pancreas,Hispanic,Male,563,17434346
301,1999,Pancreas,White,Female,12812,115961839
302,1999,Pancreas,White,Male,12273,112658596
303,1999,Penis,Black,Male,23,17195091
304,1999,Penis,Hispanic,Male,21,17434346
305,1999,Penis,White,Male,173,112658596
306,1999,"Peritoneum, Omentum and Mesentery",Black,Female,29,18978030
307,1999,"Peritoneum, Omentum and Mesentery",Hispanic,Female,17,16499783
308,1999,"Peritoneum, Omentum and Mesentery",White,Female,341,115961839
309,1999,"Peritoneum, Omentum and Mesentery",White,Male,42,112658596
310,1999,Pleura,White,Female,29,115961839
311,1999,Pleura,White,Male,55,112658596
312,1999,Prostate,American Indian/Alaska Native,Male,63,1410781
313,1999,Prostate,Asian/Pacific Islander,Male,304,5538405
314,1999,Prostate,Black,Male,5357,17195091
315,1999,Prostate,Hispanic,Male,1050,17434346
316,1999,Prostate,White,Male,26004,112658596
317,1999,Rectum and Rectosigmoid Junction,American Indian/Alaska Native,Male,23,1410781
318,1999,Rectum and Rectosigmoid Junction,Asian/Pacific Islander,Female,74,5875446
319,1999,Rectum and Rectosigmoid Junction,Asian/Pacific Islander,Male,90,5538405
320,1999,Rectum and Rectosigmoid Junction,Black,Female,364,18978030
321,1999,Rectum and Rectosigmoid Junction,Black,Male,462,17195091
322,1999,Rectum and Rectosigmoid Junction,Hispanic,Female,135,16499783
323,1999,Rectum and Rectosigmoid Junction,Hispanic,Male,180,17434346
324,1999,Rectum and Rectosigmoid Junction,White,Female,3333,115961839
325,1999,Rectum and Rectosigmoid Junction,White,Male,3901,112658596
326,1999,Retroperitoneum,White,Female,91,115961839
327,1999,Retroperitoneum,White,Male,95,112658596
328,1999,Salivary Gland,Black,Female,25,18978030
329,1999,Salivary Gland,Black,Male,27,17195091
330,1999,Salivary Gland,White,Female,234,115961839
331,1999,Salivary Gland,White,Male,356,112658596
332,1999,Skin excluding Basal and Squamous,Asian/Pacific Islander,Female,17,5875446
333,1999,Skin excluding Basal and Squamous,Asian/Pacific Islander,Male,24,5538405
334,1999,Skin excluding Basal and Squamous,Black,Female,79,18978030
335,1999,Skin excluding Basal and Squamous,Black,Male,164,17195091
336,1999,Skin excluding Basal and Squamous,Hispanic,Female,75,16499783
337,1999,Skin excluding Basal and Squamous,Hispanic,Male,118,17434346
338,1999,Skin excluding Basal and Squamous,White,Female,3309,115961839
339,1999,Skin excluding Basal and Squamous,White,Male,5921,112658596
340,1999,Small Intestine,Black,Female,67,18978030
341,1999,Small Intestine,Black,Male,83,17195091
342,1999,Small Intestine,Hispanic,Female,18,16499783
343,1999,Small Intestine,Hispanic,Male,34,17434346
344,1999,Small Intestine,White,Female,382,115961839
345,1999,Small Intestine,White,Male,481,112658596
346,1999,Soft Tissue including Heart,Asian/Pacific Islander,Female,37,5875446
347,1999,Soft Tissue including Heart,Asian/Pacific Islander,Male,37,5538405
348,1999,Soft Tissue including Heart,Black,Female,233,18978030
349,1999,Soft Tissue including Heart,Black,Male,200,17195091
350,1999,Soft Tissue including Heart,Hispanic,Female,101,16499783
351,1999,Soft Tissue including Heart,Hispanic,Male,115,17434346
352,1999,Soft Tissue including Heart,White,Female,1552,115961839
353,1999,Soft Tissue including Heart,White,Male,1602,112658596
354,1999,Stomach,American Indian/Alaska Native,Female,23,1421980
355,1999,Stomach,American Indian/Alaska Native,Male,44,1410781
356,1999,Stomach,Asian/Pacific Islander,Female,296,5875446
357,1999,Stomach,Asian/Pacific Islander,Male,366,5538405
358,1999,Stomach,Black,Female,940,18978030
359,1999,Stomach,Black,Male,1263,17195091
360,1999,Stomach,Hispanic,Female,448,16499783
361,1999,Stomach,Hispanic,Male,607,17434346
362,1999,Stomach,White,Female,3993,115961839
363,1999,Stomach,White,Male,5786,112658596
364,1999,Testis,Black,Male,23,17195091
365,1999,Testis,Hispanic,Male,39,17434346
366,1999,Testis,White,Male,347,112658596
367,1999,Thyroid,Asian/Pacific Islander,Female,29,5875446
368,1999,Thyroid,Black,Female,69,18978030
369,1999,Thyroid,Black,Male,40,17195091
370,1999,Thyroid,Hispanic,Female,61,16499783
371,1999,Thyroid,Hispanic,Male,35,17434346
372,1999,Thyroid,White,Female,628,115961839
373,1999,Thyroid,White,Male,457,112658596
374,1999,Tongue,Asian/Pacific Islander,Male,20,5538405
375,1999,Tongue,Black,Female,67,18978030
376,1999,Tongue,Black,Male,157,17195091
377,1999,Tongue,Hispanic,Female,22,16499783
378,1999,Tongue,Hispanic,Male,51,17434346
379,1999,Tongue,White,Female,521,115961839
380,1999,Tongue,White,Male,957,112658596
381,1999,Tonsil,Black,Female,25,18978030
382,1999,Tonsil,Black,Male,74,17195091
383,1999,Tonsil,White,Female,127,115961839
384,1999,Tonsil,White,Male,309,112658596
385,1999,"Trachea, Mediastinum and Other Respiratory Organs",Black,Male,18,17195091
386,1999,"Trachea, Mediastinum and Other Respiratory Organs",White,Female,107,115961839
387,1999,"Trachea, Mediastinum and Other Respiratory Organs",White,Male,133,112658596
388,1999,Ureter,White,Female,153,115961839
389,1999,Ureter,White,Male,172,112658596
390,1999,Urinary Bladder,American Indian/Alaska Native,Male,16,1410781
391,1999,Urinary Bladder,Asian/Pacific Islander,Female,36,5875446
392,1999,Urinary Bladder,Asian/Pacific Islander,Male,73,5538405
393,1999,Urinary Bladder,Black,Female,422,18978030
394,1999,Urinary Bladder,Black,Male,496,17195091
395,1999,Urinary Bladder,Hispanic,Female,79,16499783
396,1999,Urinary Bladder,Hispanic,Male,222,17434346
397,1999,Urinary Bladder,White,Female,3343,115961839
398,1999,Urinary Bladder,White,Male,7519,112658596
399,1999,"Uterus, NOS",Asian/Pacific Islander,Female,44,5875446
400,1999,"Uterus, NOS",Black,Female,547,18978030
401,1999,"Uterus, NOS",Hispanic,Female,144,16499783
402,1999,"Uterus, NOS",White,Female,2748,115961839
403,1999,Vagina,Black,Female,52,18978030
404,1999,Vagina,White,Female,343,115961839
405,1999,Vulva,Black,Female,48,18978030
406,1999,Vulva,Hispanic,Female,33,16499783
407,1999,Vulva,White,Female,703,115961839
408,2000,Acute Lymphocytic,Asian/Pacific Islander,Male,24,5810867
409,2000,Acute Lymphocytic,Black,Female,48,19252974
410,2000,Acute Lymphocytic,Black,Male,64,17475735
411,2000,Acute Lymphocytic,Hispanic,Female,87,17318115
412,2000,Acute Lymphocytic,Hispanic,Male,134,18340219
413,2000,Acute Lymphocytic,White,Female,526,116819133
414,2000,Acute Lymphocytic,White,Male,712,113663749
415,2000,Acute Myeloid,American Indian/Alaska Native,Female,16,1500265
416,2000,Acute Myeloid,Asian/Pacific Islander,Female,63,6146632
417,2000,Acute Myeloid,Asian/Pacific Islander,Male,68,5810867
418,2000,Acute Myeloid,Black,Female,295,19252974
419,2000,Acute Myeloid,Black,Male,296,17475735
420,2000,Acute Myeloid,Hispanic,Female,151,17318115
421,2000,Acute Myeloid,Hispanic,Male,189,18340219
422,2000,Acute Myeloid,White,Female,3031,116819133
423,2000,Acute Myeloid,White,Male,3630,113663749
424,2000,"Anus, Anal Canal and Anorectum",Black,Female,24,19252974
425,2000,"Anus, Anal Canal and Anorectum",Black,Male,26,17475735
426,2000,"Anus, Anal Canal and Anorectum",White,Female,270,116819133
427,2000,"Anus, Anal Canal and Anorectum",White,Male,166,113663749
428,2000,Bones and Joints,Black,Female,51,19252974
429,2000,Bones and Joints,Black,Male,76,17475735
430,2000,Bones and Joints,Hispanic,Female,53,17318115
431,2000,Bones and Joints,Hispanic,Male,56,18340219
432,2000,Bones and Joints,White,Female,469,116819133
433,2000,Bones and Joints,White,Male,592,113663749
434,2000,Cervix,American Indian/Alaska Native,Female,30,1500265
435,2000,Cervix,Asian/Pacific Islander,Female,143,6146632
436,2000,Cervix,Black,Female,869,19252974
437,2000,Cervix,Hispanic,Female,434,17318115
438,2000,Cervix,White,Female,3158,116819133
439,2000,Chronic Lymphocytic,Black,Female,132,19252974
440,2000,Chronic Lymphocytic,Black,Male,189,17475735
441,2000,Chronic Lymphocytic,Hispanic,Female,27,17318115
442,2000,Chronic Lymphocytic,Hispanic,Male,42,18340219
443,2000,Chronic Lymphocytic,White,Female,1733,116819133
444,2000,Chronic Lymphocytic,White,Male,2244,113663749
445,2000,Chronic Myeloid,Asian/Pacific Islander,Male,24,5810867
446,2000,Chronic Myeloid,Black,Female,109,19252974
447,2000,Chronic Myeloid,Black,Male,107,17475735
448,2000,Chronic Myeloid,Hispanic,Female,49,17318115
449,2000,Chronic Myeloid,Hispanic,Male,84,18340219
450,2000,Chronic Myeloid,White,Female,641,116819133
451,2000,Chronic Myeloid,White,Male,900,113663749
452,2000,Colon and Rectum,American Indian/Alaska Native,Female,85,1500265
453,2000,Colon and Rectum,American Indian/Alaska Native,Male,108,1493056
454,2000,Colon and Rectum,Asian/Pacific Islander,Female,416,6146632
455,2000,Colon and Rectum,Asian/Pacific Islander,Male,511,5810867
456,2000,Colon and Rectum,Black,Female,3536,19252974
457,2000,Colon and Rectum,Black,Male,3316,17475735
458,2000,Colon and Rectum,Hispanic,Female,994,17318115
459,2000,Colon and Rectum,Hispanic,Male,1123,18340219
460,2000,Colon and Rectum,White,Female,24913,116819133
461,2000,Colon and Rectum,White,Male,24549,113663749
462,2000,Colon excluding Rectum,American Indian/Alaska Native,Female,66,1500265
463,2000,Colon excluding Rectum,American Indian/Alaska Native,Male,88,1493056
464,2000,Colon excluding Rectum,Asian/Pacific Islander,Female,342,6146632
465,2000,Colon excluding Rectum,Asian/Pacific Islander,Male,406,5810867
466,2000,Colon excluding Rectum,Black,Female,3157,19252974
467,2000,Colon excluding Rectum,Black,Male,2826,17475735
468,2000,Colon excluding Rectum,Hispanic,Female,839,17318115
469,2000,Colon excluding Rectum,Hispanic,Male,936,18340219
470,2000,Colon excluding Rectum,White,Female,21604,116819133
471,2000,Colon excluding Rectum,White,Male,20530,113663749
472,2000,Corpus,Asian/Pacific Islander,Female,58,6146632
473,2000,Corpus,Black,Female,467,19252974
474,2000,Corpus,Hispanic,Female,112,17318115
